2026-04-01 11:28:29,804 | INFO     | __main__ | ✅ All arguments validated successfully
2026-04-01 11:28:29,805 | INFO     | __main__ | ✅ Loaded board config: /home/makabaka/conware/conware/configs/stm32f407.yaml
2026-04-01 11:28:29,805 | INFO     | __main__ | 📁 Avatar logs directory: firmware/stm32f407/1跑马灯实验/emulate_logs
2026-04-01 11:28:29,805 | INFO     | avatar | Initialized Avatar. Output directory is firmware/stm32f407/1跑马灯实验/emulate_logs
2026-04-01 11:28:29,806 | INFO     | __main__ | 🚫 GDB debugging disabled (port 0, compatibility with oldest Avatar2)
2026-04-01 11:28:29,861 | INFO     | __main__ | 🧠 Loaded Conware model: firmware/stm32f407/1跑马灯实验/conware_model_optimized.pkl
2026-04-01 11:28:29,861 | INFO     | __main__ | 🔧 Configuring memory layout...
2026-04-01 11:28:29,861 | INFO     | __main__ | ⏭️ Skipping IVT region (Avatar2 bug workaround)
2026-04-01 11:28:29,861 | INFO     | __main__ |    rom: base=0x08000000, size=0x100000, forwarded=False
2026-04-01 11:28:29,861 | INFO     | __main__ | ✅ Added memory range: rom
2026-04-01 11:28:29,861 | INFO     | __main__ |    ram: base=0x20000000, size=0x30000, forwarded=False
2026-04-01 11:28:29,861 | INFO     | __main__ | ✅ Added memory range: ram
2026-04-01 11:28:29,861 | INFO     | __main__ |    mmio: base=0x40000000, size=0x20000000, forwarded=True
2026-04-01 11:28:29,861 | INFO     | root | Starting pretender..
2026-04-01 11:28:29,861 | INFO     | __main__ | ✅ Added memory range: mmio
2026-04-01 11:28:29,862 | INFO     | avatar.targets.qemu | QEMU process running
2026-04-01 11:28:34,946 | CRITICAL | avatar.targets.qemu.GDBProtocol | GDBProtocol was unable to connect to remote target
2026-04-01 11:28:34,947 | WARNING  | __main__ | ⚠️ GDB initialization skipped (expected for oldest Avatar2): GDBProtocol was unable to connect
2026-04-01 11:28:34,948 | INFO     | __main__ | 📝 Log writer initialized: firmware/stm32f407/1跑马灯实验/emulated_output.csv
2026-04-01 11:28:34,948 | INFO     | __main__ | ⚠️ Interrupt enable skipped (oldest Avatar2 compatibility)
2026-04-01 11:28:34,948 | INFO     | __main__ | 🎯 Skipped PC/SP configuration (QEMU uses firmware default entry point)
2026-04-01 11:28:34,948 | INFO     | __main__ | ▶️ Starting emulation (runtime: 30.0 seconds)
2026-04-01 11:28:34,948 | WARNING  | __main__ | ⚠️ Emulation start warning (oldest Avatar2): cont() requested but Target is CREATED
2026-04-01 11:29:04,949 | INFO     | __main__ | 📈 Model statistics saved: firmware/stm32f407/1跑马灯实验/emulate_logs/model_stats.json
2026-04-01 11:29:04,950 | INFO     | __main__ | 🧹 Starting resource cleanup...
2026-04-01 11:29:04,950 | WARNING  | __main__ | ⚠️ Failed to stop QEMU target (ignored for oldest Avatar2): stop() requested but Target is CREATED
2026-04-01 11:29:04,964 | INFO     | __main__ | ✅ Avatar core shutdown
2026-04-01 11:29:04,965 | INFO     | __main__ | ✅ Log writer closed
2026-04-01 11:29:04,965 | INFO     | __main__ | ✅ Emulation cleanup completed successfully
