Operation	Seqn	Address	Value	PC	Size	Timestamp
READ	0	0x40021414	0x00000700	0x0	4	1775489745013062
WRITE	12	0x40021414	0x0	0x0	4	1775489746502025
WRITE	24	0x40021414	0x00000700	0x0	4	1775489747999240
WRITE	30	0x40021414	0x0	0x0	4	1775489748745728
WRITE	36	0x40021414	0x00000400	0x0	4	1775489749502054
WRITE	42	0x40021414	0x00000700	0x0	4	1775489750249510
WRITE	48	0x40021414	0x00000400	0x0	4	1775489750989564
WRITE	60	0x40021414	0x00000700	0x0	4	1775489752504327
WRITE	66	0x40021414	0x0	0x0	4	1775489753258863
WRITE	72	0x40021414	0x00000400	0x0	4	1775489754027479
WRITE	78	0x40021414	0x00000700	0x0	4	1775489754785548
WRITE	90	0x40021414	0x00000400	0x0	4	1775489756326561
WRITE	96	0x40021414	0x00000700	0x0	4	1775489757081140
WRITE	108	0x40021414	0x00000400	0x0	4	1775489758595775
WRITE	120	0x40021414	0x00000700	0x0	4	1775489760142212
WRITE	126	0x40021414	0x00000400	0x0	4	1775489760896957
WRITE	138	0x40021414	0x00000700	0x0	4	1775489762405963
WRITE	150	0x40021414	0x00000400	0x0	4	1775489763903664
WRITE	156	0x40021414	0x00000700	0x0	4	1775489764648413
WRITE	162	0x40021414	0x0	0x0	4	1775489765389500
WRITE	168	0x40021414	0x00000400	0x0	4	1775489766136233
WRITE	174	0x40021414	0x00000700	0x0	4	1775489766878324
WRITE	186	0x40021414	0x0	0x0	4	1775489768371580
WRITE	192	0x40021414	0x00000400	0x0	4	1775489769118302
WRITE	198	0x40021414	0x00000700	0x0	4	1775489769882075
WRITE	204	0x40021414	0x00000400	0x0	4	1775489770624749
WRITE	216	0x40021414	0x00000700	0x0	4	1775489772120087
WRITE	222	0x40021414	0x00000400	0x0	4	1775489772868649
WRITE	234	0x40021414	0x0	0x0	4	1775489774359815
READ	1	0x40021400	0x00150000	0x0	4	1775489745013062
WRITE	7	0x40021400	0x0	0x0	4	1775489745756757
WRITE	13	0x40021400	0x00150000	0x0	4	1775489746502025
READ	2	0x40021404	0x0	0x0	4	1775489745013062
READ	3	0x40021408	0x00150000	0x0	4	1775489745013062
WRITE	15	0x40021408	0x0	0x0	4	1775489746502025
WRITE	21	0x40021408	0x00150000	0x0	4	1775489747248186
READ	4	0x4002140C	0x00150000	0x0	4	1775489745013062
WRITE	10	0x4002140C	0x0	0x0	4	1775489745756757
WRITE	16	0x4002140C	0x00150000	0x0	4	1775489746502025
READ	5	0x40023830	0x00100020	0x0	4	1775489745013062
WRITE	17	0x40023830	0x0	0x0	4	1775489746502025
WRITE	23	0x40023830	0x00100020	0x0	4	1775489747248186
