Operation	Seqn	Address	Value	PC	Size	Timestamp
READ	0	0xE000ED0C	0xfa050000	0x0	4	1775491978805221
READ	1	0xE000E100	0x00000000	0x0	4	1775491978805221
READ	2	0xE000E400	0x00000000	0x0	4	1775491978805221
READ	3	0x40010400	0x0	0x0	4	1775491978805221
READ	4	0x40010408	0x00000000	0x0	4	1775491978805221
READ	5	0x4001040C	0x00000000	0x0	4	1775491978805221
READ	6	0x40021414	0x00000400	0x0	4	1775491978805221
READ	7	0x40021010	0x0	0x0	4	1775491978805221
READ	8	0x40020010	0x0000df6c	0x0	4	1775491978805221
READ	9	0x40023830	0x0	0x0	4	1775491978805221
WRITE	10	0xE000ED0C	0xfa050500	0x0	4	1775491979967162
WRITE	11	0xE000E100	0x00000740	0x0	4	1775491979967162
READ	12	0xE000E400	0x0	0x0	4	1775491979967162
READ	13	0x40010400	0x00000000	0x0	4	1775491979967162
READ	14	0x40010408	0x0	0x0	4	1775491979967162
READ	15	0x4001040C	0x0	0x0	4	1775491979967162
WRITE	16	0x40021414	0x0	0x0	4	1775491979967162
WRITE	17	0x40021010	0x0000ffff	0x0	4	1775491979967162
READ	18	0x40020010	0x0000df6c	0x0	4	1775491979967162
READ	19	0x40023830	0x0	0x0	4	1775491979967162
WRITE	20	0xE000ED0C	0x0	0x0	4	1775491981182974
WRITE	21	0xE000E100	0x0	0x0	4	1775491981182974
READ	22	0xE000E400	0x00000000	0x0	4	1775491981182974
READ	23	0x40010400	0x00000000	0x0	4	1775491981182974
READ	24	0x40010408	0x00000000	0x0	4	1775491981182974
READ	25	0x4001040C	0x00000000	0x0	4	1775491981182974
WRITE	26	0x40021414	0x00000400	0x0	4	1775491981182974
WRITE	27	0x40021010	0x0	0x0	4	1775491981182974
READ	28	0x40020010	0x0000df6c	0x0	4	1775491981182974
READ	29	0x40023830	0x0	0x0	4	1775491981182974
WRITE	30	0xE000ED0C	0xfa050500	0x0	4	1775491982390096
READ	31	0xE000E100	0x0	0x0	4	1775491982390096
READ	32	0xE000E400	0x00000000	0x0	4	1775491982390096
READ	33	0x40010400	0x0	0x0	4	1775491982390096
READ	34	0x40010408	0x00000000	0x0	4	1775491982390096
READ	35	0x4001040C	0x0	0x0	4	1775491982390096
READ	36	0x40021414	0x00000400	0x0	4	1775491982390096
WRITE	37	0x40021010	0x0000ffff	0x0	4	1775491982390096
WRITE	38	0x40020010	0x0	0x0	4	1775491982390096
WRITE	39	0x40023830	0x00100031	0x0	4	1775491982390096
READ	40	0xE000ED0C	0xfa050500	0x0	4	1775491983618831
READ	41	0xE000E100	0x0	0x0	4	1775491983618831
READ	42	0xE000E400	0x0	0x0	4	1775491983618831
READ	43	0x40010400	0x0	0x0	4	1775491983618831
READ	44	0x40010408	0x00000000	0x0	4	1775491983618831
READ	45	0x4001040C	0x00000000	0x0	4	1775491983618831
READ	46	0x40021414	0x00000400	0x0	4	1775491983618831
READ	47	0x40021010	0x0000ffff	0x0	4	1775491983618831
READ	48	0x40020010	0x0	0x0	4	1775491983618831
READ	49	0x40023830	0x00100031	0x0	4	1775491983618831
READ	50	0xE000ED0C	0xfa050500	0x0	4	1775491984829406
READ	51	0xE000E100	0x0	0x0	4	1775491984829406
READ	52	0xE000E400	0x00000000	0x0	4	1775491984829406
READ	53	0x40010400	0x0	0x0	4	1775491984829406
READ	54	0x40010408	0x00000000	0x0	4	1775491984829406
READ	55	0x4001040C	0x0	0x0	4	1775491984829406
READ	56	0x40021414	0x00000400	0x0	4	1775491984829406
READ	57	0x40021010	0x0000ffff	0x0	4	1775491984829406
WRITE	58	0x40020010	0x0000df6c	0x0	4	1775491984829406
WRITE	59	0x40023830	0x0	0x0	4	1775491984829406
READ	60	0xE000ED0C	0xfa050500	0x0	4	1775491986033325
WRITE	61	0xE000E100	0x00000740	0x0	4	1775491986033325
READ	62	0xE000E400	0x0	0x0	4	1775491986033325
READ	63	0x40010400	0x00000000	0x0	4	1775491986033325
READ	64	0x40010408	0x00000000	0x0	4	1775491986033325
READ	65	0x4001040C	0x00000000	0x0	4	1775491986033325
READ	66	0x40021414	0x00000400	0x0	4	1775491986033325
READ	67	0x40021010	0x0000ffff	0x0	4	1775491986033325
READ	68	0x40020010	0x0000df6c	0x0	4	1775491986033325
READ	69	0x40023830	0x0	0x0	4	1775491986033325
WRITE	70	0xE000ED0C	0x0	0x0	4	1775491987237194
READ	71	0xE000E100	0x00000740	0x0	4	1775491987237194
READ	72	0xE000E400	0x00000000	0x0	4	1775491987237194
READ	73	0x40010400	0x00000000	0x0	4	1775491987237194
READ	74	0x40010408	0x0	0x0	4	1775491987237194
READ	75	0x4001040C	0x0	0x0	4	1775491987237194
WRITE	76	0x40021414	0x00000500	0x0	4	1775491987237194
READ	77	0x40021010	0x0000ffff	0x0	4	1775491987237194
WRITE	78	0x40020010	0x0	0x0	4	1775491987237194
READ	79	0x40023830	0x0	0x0	4	1775491987237194
WRITE	80	0xE000ED0C	0xfa050500	0x0	4	1775491988443388
WRITE	81	0xE000E100	0x0	0x0	4	1775491988443388
READ	82	0xE000E400	0x00000000	0x0	4	1775491988443388
READ	83	0x40010400	0x0	0x0	4	1775491988443388
READ	84	0x40010408	0x0	0x0	4	1775491988443388
READ	85	0x4001040C	0x0	0x0	4	1775491988443388
WRITE	86	0x40021414	0x0	0x0	4	1775491988443388
WRITE	87	0x40021010	0x0000fff7	0x0	4	1775491988443388
WRITE	88	0x40020010	0x0000df6c	0x0	4	1775491988443388
WRITE	89	0x40023830	0x00100031	0x0	4	1775491988443388
WRITE	90	0xE000ED0C	0x0	0x0	4	1775491989645005
WRITE	91	0xE000E100	0x00000740	0x0	4	1775491989645005
READ	92	0xE000E400	0x0	0x0	4	1775491989645005
READ	93	0x40010400	0x00000000	0x0	4	1775491989645005
READ	94	0x40010408	0x00000000	0x0	4	1775491989645005
READ	95	0x4001040C	0x00000000	0x0	4	1775491989645005
WRITE	96	0x40021414	0x00000400	0x0	4	1775491989645005
WRITE	97	0x40021010	0x0000ffff	0x0	4	1775491989645005
READ	98	0x40020010	0x0000df6c	0x0	4	1775491989645005
WRITE	99	0x40023830	0x0	0x0	4	1775491989645005
WRITE	100	0xE000ED0C	0xfa050500	0x0	4	1775491990849288
WRITE	101	0xE000E100	0x0	0x0	4	1775491990849288
READ	102	0xE000E400	0x00000000	0x0	4	1775491990849288
READ	103	0x40010400	0x00000000	0x0	4	1775491990849288
READ	104	0x40010408	0x00000000	0x0	4	1775491990849288
READ	105	0x4001040C	0x00000000	0x0	4	1775491990849288
WRITE	106	0x40021414	0x00000200	0x0	4	1775491990849288
WRITE	107	0x40021010	0x0	0x0	4	1775491990849288
READ	108	0x40020010	0x0000df6c	0x0	4	1775491990849288
WRITE	109	0x40023830	0x00100031	0x0	4	1775491990849288
READ	110	0xE000ED0C	0xfa050500	0x0	4	1775491992059545
WRITE	111	0xE000E100	0x00000740	0x0	4	1775491992059545
READ	112	0xE000E400	0x0	0x0	4	1775491992059545
