Operation	Seqn	Address	Value	PC	Size	Timestamp
READ	0	0xE000ED0C	0xfa050000	0x0	4	1775491978805221
WRITE	10	0xE000ED0C	0xfa050500	0x0	4	1775491979967162
WRITE	20	0xE000ED0C	0x0	0x0	4	1775491981182974
READ	1	0xE000E100	0x00000000	0x0	4	1775491978805221
WRITE	11	0xE000E100	0x00000740	0x0	4	1775491979967162
WRITE	21	0xE000E100	0x0	0x0	4	1775491981182974
WRITE	61	0xE000E100	0x00000740	0x0	4	1775491986033325
WRITE	81	0xE000E100	0x0	0x0	4	1775491988443388
WRITE	91	0xE000E100	0x00000740	0x0	4	1775491989645005
READ	231	0xE000E100	0x00000740	0x0	4	1775492006571792
READ	2	0xE000E400	0x00000000	0x0	4	1775491978805221
READ	3	0x40010400	0x0	0x0	4	1775491978805221
READ	4	0x40010408	0x00000000	0x0	4	1775491978805221
READ	5	0x4001040C	0x00000000	0x0	4	1775491978805221
READ	6	0x40021414	0x00000400	0x0	4	1775491978805221
WRITE	16	0x40021414	0x0	0x0	4	1775491979967162
WRITE	26	0x40021414	0x00000400	0x0	4	1775491981182974
WRITE	76	0x40021414	0x00000500	0x0	4	1775491987237194
WRITE	106	0x40021414	0x00000200	0x0	4	1775491990849288
READ	7	0x40021010	0x0	0x0	4	1775491978805221
WRITE	17	0x40021010	0x0000ffff	0x0	4	1775491979967162
WRITE	27	0x40021010	0x0	0x0	4	1775491981182974
WRITE	37	0x40021010	0x0000ffff	0x0	4	1775491982390096
WRITE	87	0x40021010	0x0000fff7	0x0	4	1775491988443388
WRITE	97	0x40021010	0x0000ffff	0x0	4	1775491989645005
READ	237	0x40021010	0x0000ffff	0x0	4	1775492006571792
READ	8	0x40020010	0x0000df6c	0x0	4	1775491978805221
WRITE	38	0x40020010	0x0	0x0	4	1775491982390096
WRITE	58	0x40020010	0x0000df6c	0x0	4	1775491984829406
READ	9	0x40023830	0x0	0x0	4	1775491978805221
WRITE	39	0x40023830	0x00100031	0x0	4	1775491982390096
WRITE	59	0x40023830	0x0	0x0	4	1775491984829406
WRITE	89	0x40023830	0x00100031	0x0	4	1775491988443388
WRITE	99	0x40023830	0x0	0x0	4	1775491989645005
WRITE	109	0x40023830	0x00100031	0x0	4	1775491990849288
READ	239	0x40023830	0x00100031	0x0	4	1775492006571792
